excluir;unidade;ano;mes;grau;score;predicao_obito;saidas;obitos_esperados;obitos_ocorridos
12/2019;MOV;2019;12;IV;15 a 19;25;0;0,0;0
12/2019;MOV;2019;12;V;20 a 24;40;0;0,0;0
12/2019;MOV;2019;12;VI;25 a 29;55;0;0,0;0
12/2019;MOV;2019;12;VII;30 a 34;75;0;0,0;0
12/2019;MOV;2019;12;VIII;> 34;85;0;0,0;0
01/2020;HAC;2020;1;I;0 a 4;4;1;0,04;0
01/2020;HAC;2020;1;II;5 a 9;8;7;0,56;0
01/2020;HAC;2020;1;III;10 a 14;15;14;2,1;0
01/2020;HAC;2020;1;IV;15 a 19;25;11;2,75;2
01/2020;HAC;2020;1;V;20 a 24;40;3;1,2;1
01/2020;HAC;2020;1;VI;25 a 29;55;1;0,55;1
01/2020;HAC;2020;1;VII;30 a 34;75;1;0,75;1
01/2020;HAC;2020;1;VIII;> 34;85;0;0,0;0
01/2020;HEM;2020;1;I;0 a 4;4;0;0,0;0
01/2020;HEM;2020;1;II;5 a 9;8;1;0,08;0
01/2020;HEM;2020;1;III;10 a 14;15;9;1,35;1
01/2020;HEM;2020;1;IV;15 a 19;25;9;2,25;2
01/2020;HEM;2020;1;V;20 a 24;40;6;2,4;2
01/2020;HEM;2020;1;VI;25 a 29;55;7;3,85;2
01/2020;HEM;2020;1;VII;30 a 34;75;4;3,0;2
01/2020;HEM;2020;1;VIII;> 34;85;2;1,7;0
01/2020;HJK;2020;1;I;0 a 4;4;89;3,5999999999999996;5
01/2020;HJK;2020;1;II;5 a 9;8;201;16,12;20
01/2020;HJK;2020;1;III;10 a 14;15;227;34,2;12
01/2020;HJK;2020;1;IV;15 a 19;25;212;53,1;28
01/2020;HJK;2020;1;V;20 a 24;40;145;58,0;28
01/2020;HJK;2020;1;VI;25 a 29;55;61;33,599999999999994;25
01/2020;HJK;2020;1;VII;30 a 34;75;34;25,6;13
01/2020;HJK;2020;1;VIII;> 34;85;18;15,350000000000001;15
01/2020;HJXXIII;2020;1;I;0 a 4;4;19;0,76;0
01/2020;HJXXIII;2020;1;II;5 a 9;8;26;2,08;3
01/2020;HJXXIII;2020;1;III;10 a 14;15;24;3,6;1
01/2020;HJXXIII;2020;1;IV;15 a 19;25;20;5,0;2
01/2020;HJXXIII;2020;1;V;20 a 24;40;10;4,0;4
01/2020;HJXXIII;2020;1;VI;25 a 29;55;3;1,65;1
01/2020;HJXXIII;2020;1;VII;30 a 34;75;0;0,0;0
01/2020;HJXXIII;2020;1;VIII;> 34;85;0;0,0;0
01/2020;HRAD;2020;1;I;0 a 4;4;2;0,08;0
01/2020;HRAD;2020;1;II;5 a 9;8;10;0,8;1
01/2020;HRAD;2020;1;III;10 a 14;15;22;3,3;1
01/2020;HRAD;2020;1;IV;15 a 19;25;11;2,75;2
01/2020;HRAD;2020;1;V;20 a 24;40;15;6,0;5
01/2020;HRAD;2020;1;VI;25 a 29;55;11;6,05;6
01/2020;HRAD;2020;1;VII;30 a 34;75;1;0,75;1
01/2020;HRAD;2020;1;VIII;> 34;85;0;0,0;0
01/2020;HRBJA;2020;1;I;0 a 4;4;0;0,0;0
01/2020;HRBJA;2020;1;II;5 a 9;8;0;0,0;0
01/2020;HRBJA;2020;1;III;10 a 14;15;0;0,0;0
01/2020;HRBJA;2020;1;IV;15 a 19;25;0;0,0;0
01/2020;HRBJA;2020;1;V;20 a 24;40;0;0,0;0
01/2020;HRBJA;2020;1;VI;25 a 29;55;0;0,0;0
01/2020;HRBJA;2020;1;VII;30 a 34;75;0;0,0;0
01/2020;HRBJA;2020;1;VIII;> 34;85;0;0,0;0
01/2020;HRJP;2020;1;I;0 a 4;4;1;0,04;0
01/2020;HRJP;2020;1;II;5 a 9;8;9;0,72;1
01/2020;HRJP;2020;1;III;10 a 14;15;11;1,65;4
01/2020;HRJP;2020;1;IV;15 a 19;25;12;3,0;4
01/2020;HRJP;2020;1;V;20 a 24;40;0;0,0;0
01/2020;HRJP;2020;1;VI;25 a 29;55;0;0,0;0
01/2020;HRJP;2020;1;VII;30 a 34;75;0;0,0;0
01/2020;HRJP;2020;1;VIII;> 34;85;1;0,85;0
01/2020;MOV;2020;1;I;0 a 4;4;0;0,0;0
01/2020;MOV;2020;1;II;5 a 9;8;0;0,0;0
01/2020;MOV;2020;1;III;10 a 14;15;0;0,0;0
01/2020;MOV;2020;1;IV;15 a 19;25;0;0,0;0
01/2020;MOV;2020;1;V;20 a 24;40;0;0,0;0
01/2020;MOV;2020;1;VI;25 a 29;55;0;0,0;0
01/2020;MOV;2020;1;VII;30 a 34;75;0;0,0;0
01/2020;MOV;2020;1;VIII;> 34;85;0;0,0;0
02/2020;HAC;2020;2;I;0 a 4;4;0;0,0;0
02/2020;HAC;2020;2;II;5 a 9;8;11;0,88;0
02/2020;HAC;2020;2;III;10 a 14;15;10;1,5;0
02/2020;HAC;2020;2;IV;15 a 19;25;8;2,0;0
02/2020;HAC;2020;2;V;20 a 24;40;5;2,0;1
02/2020;HAC;2020;2;VI;25 a 29;55;3;1,65;2
02/2020;HAC;2020;2;VII;30 a 34;75;1;0,75;0
02/2020;HAC;2020;2;VIII;> 34;85;0;0,0;0
02/2020;HEM;2020;2;I;0 a 4;4;0;0,0;0
02/2020;HEM;2020;2;II;5 a 9;8;5;0,4;1
02/2020;HEM;2020;2;III;10 a 14;15;8;1,2;1
02/2020;HEM;2020;2;IV;15 a 19;25;6;1,5;1
02/2020;HEM;2020;2;V;20 a 24;40;4;1,6;1
02/2020;HEM;2020;2;VI;25 a 29;55;6;3,3;1
02/2020;HEM;2020;2;VII;30 a 34;75;0;0,0;0
02/2020;HEM;2020;2;VIII;> 34;85;2;1,7;2
02/2020;HJK;2020;2;I;0 a 4;4;89;3,5999999999999996;5
02/2020;HJK;2020;2;II;5 a 9;8;193;15,48;20
02/2020;HJK;2020;2;III;10 a 14;15;232;34,95;12
02/2020;HJK;2020;2;IV;15 a 19;25;216;54,1;29
02/2020;HJK;2020;2;V;20 a 24;40;136;54,4;27
02/2020;HJK;2020;2;VI;25 a 29;55;65;35,8;26
02/2020;HJK;2020;2;VII;30 a 34;75;32;24,1;15
02/2020;HJK;2020;2;VIII;> 34;85;18;15,350000000000001;14
02/2020;HJXXIII;2020;2;I;0 a 4;4;16;0,64;0
02/2020;HJXXIII;2020;2;II;5 a 9;8;36;2,88;2
02/2020;HJXXIII;2020;2;III;10 a 14;15;36;5,4;2
02/2020;HJXXIII;2020;2;IV;15 a 19;25;18;4,5;4
02/2020;HJXXIII;2020;2;V;20 a 24;40;11;4,4;2
02/2020;HJXXIII;2020;2;VI;25 a 29;55;4;2,2;2
02/2020;HJXXIII;2020;2;VII;30 a 34;75;1;0,75;0
02/2020;HJXXIII;2020;2;VIII;> 34;85;0;0,0;0
02/2020;HRAD;2020;2;I;0 a 4;4;2;0,08;0
02/2020;HRAD;2020;2;II;5 a 9;8;12;0,9600000000000001;0
02/2020;HRAD;2020;2;III;10 a 14;15;25;3,75;1
02/2020;HRAD;2020;2;IV;15 a 19;25;16;4,0;4
02/2020;HRAD;2020;2;V;20 a 24;40;6;2,4;1
02/2020;HRAD;2020;2;VI;25 a 29;55;2;1,1;0
02/2020;HRAD;2020;2;VII;30 a 34;75;0;0,0;0
02/2020;HRAD;2020;2;VIII;> 34;85;0;0,0;0
